Inventory Number,Description
C. 2250,Fragment of a mummy mask decorated with a mummification scene. Cartonnage. Ptolemaic Period (332-30 BC).. Acquired before 1882. C. 2250
C. 2328,"Mummy soles picturing two Asiatic prisoners, symbolizing the trampling of the enemy. Linen. Late Period (722-332 BC).. Acquired before 1882. C. 2328"
C. 2393.1,"Coffin for a fish, containing mummy. Wood, organic remains. Ptolemaic Period (332-30 BC).. Acquired before 1882. C. 2393/1"
C. 2441,"Shabti-box. Wood. Late Period, 25th Dynasty (722-664 BC). 	. Acquired before 1882. C. 2441"
C. 2646,"Shabti of the construction worker Mesmeni. Baked clay. New Kingdom, 20th Dynasty (1190-1076 BC).. Acquired before 1882. C. 2646"
C. 2724.a,"Shabti of Horemakhbit. Faience. Third Intermediate Period, 21st Dynasty (1076-944 BC). Deir el-Bahari, Second Cachette.. Drovetti collection (1824). C. 2724/a"
C. 2737 v.n. 915,"Shabti of Khonsu. Wood. New Kingdom, 19th-20th Dynasty (1292-1076 BC). Deir el-Medina.. Acquired before 1882. C. 2737 v.n. 915"
C. 3100,"Male statue. Wood. New Kingdom, 19th Dynasty (1292-1190 BC).. Drovetti collection (1824). C. 3100"
C. 3234 DN,"Ointment jar with the cartouche of Tuthmosis III and an indication of its capacity, probably from the grave-goods of the overseer of foreign lands Djehuty. Calcite (alabaster). New Kingdom, 18th Dynasty, reign of Tuthmosi III (1458-1425 a.C.).. Drovetti "
C. 3325,"Dummy jar of Amennakht. Limestone. New Kingdom, 19th-20th Dynasty (1292-1076 BC).. Drovetti collection (1824). C. 3325"
C. 3459.b,"Lid of canopic jar of Wadjren, overseer of the two granaries. Baked clay. New Kingdom, 18th Dynasty, ca. 1450-1400 BC.. Acquired before 1882. C. 3459/b"
C. 3673,"Double juglet of the “Base Ring I” type, imported from Cyprus. Baked clay. New Kingdom, 18th Dynasty (1539-1292 BC).. Acquired before 1888. C. 3673"
C. 6098 dubbio,Scarab. Faience. Late Period – Ptolemaic Period (722-30 BC).. Acquired before 1888. C. 6098
C. 6347,"Royal cubit rod of Amenemope, overseer of the two granaries. Wood. New Kingdom, 18th Dynasty, reign of Horemheb (1319-1292 BC). Saqqara (?).. Drovetti collection (1824). C. 6347"
C. 6391 DN,Loom weight. Baked clay. Ptolemaic Period - Roman Period (332 BC - AD 395).. Acquired before 1888. C. 6391
C. 6750,Amulet depicting a hybrid deity
C. 6866,Amulet depicting the heart
C. 7050,Sculptor’s model of the bust of a king. Limestone. Late Period (722-332 BC).. Acquired before 1888. C. 7050
C. 7067,Mold for amulets depicting the benu bird (phoenix). Limestone. Ptolemaic Period - Roman Period (332 BC - AD 395).. Acquired before 1888. C. 7067
C. 7238,"Statuette of the Near Eastern god Attis, god of fertility, wearing a Phrygian cap. Baked clay. Roman Period (30 BC-AD 395).. Acquired before 1888. C. 7238"
P. 0509.2,Amulet depicting the goddess Nephthys
P. 0795,"Dish. Calcite (alabaster). Early Dynastic Period, 1st-2nd Dynasty (3000-2590 BC).. P. 795"
P. 3539.12,"Pendant in rock crystal forming part of a necklace with other eleven perforated shells (P. 3539/1-11). Rock crystal. Predynastic Period, late 4th millennium BC. Tamit, Egyptian Nubia, Tomb N. 1.. Excavations of the Istituto Egittologia, University of Rome"
P. 3552,Statuette of a worshiper. Bronze. Late Period (722-332 BC).. P. 3552
P. 3645,"Globular vessel with a grey washing. Backed clay. Predynastic Period, late 4th millennium BC. Tamit, Egyptian Nubia, Tomb N. 1.. Excavations of the Istituto Egittologia, University of Rome in Nubia (1964) (on loan). P. 3645"
P. 3700,Retouched blade. Flint. Predynastic Period (3900-3300 BC).. P. 3700
P. 5178,Lid. Glass. Roman Period (30 BC-AD 395).. P. 5178
S. 00055,Amulet depicting the god Nefertum
S. 00166,Shabti. Alabaster. New Kingdom (1539-1076 BC).. Museo Kircheriano (1896). S. 166
S. 00569,"Mace head. Granodiorite. Predynastic Period, Naqada I-IIB (3900-3550 BC).. Purchased by Schiaparelli (1900-1901). S. 569"
S. 01121,"Animal-shaped tag. Bone, ivory. Predynastic Period, Naqada I-IIA (3900-3600 BC).. Purchased by Schiaparelli (1900-1901). S. 1121"
S. 01166.1,"Animal-shaped amulet. Serpentine. Predynastic Period, Naqada II (3700-3300 BC).. Purchased by Schiaparelli (1900-1901). S. 1166/1"
S. 01208,"Boat model with oarsmen and a coffin under a canopy. Wood. Middle Kingdom, 11th Dynasty (1980-1939 BC). Asyut (?).. Purchased by Schiaparelli (1900-1901). S. 1208"
S. 01264,"Stela of Inheretnakht. Limestone. First Intermediate Period, 8th-11th Dynasty (2118-1980 BC).. Purchased by Schiaparelli (1900-1901). S. 1264"
S. 04034.1,"Cosmetic palette. Limestone. Predynastic Period, Naqada IIC-IIIA (3500-3200 BC). Heliopolis.. Schiaparelli excavations (1906). S. 4034/1"
S. 04721,"Wavy-handled jar (W-ware). Baked clay. Predynastic Period, Naqada IIC (3500-3400 BC). Hammamiya.. Schiaparelli excavations (1905). S. 4721"
S. 05329.1-2,"Two scarabs. Faïence. Late Period, 25th-31st Dynasty (722-332 BC). Valley of the Queens.. Schiaparelli excavations (1903-1905). S. 5329/1-2"
S. 06295,"Painted ostracon with the head of an African man with short curly hair and an earring. Limestone, black ink. New Kingdom, 20th Dynasty (1186–1069 BC). Deir el-Medina.. Schiaparelli excavations (1905). S. 6295"
S. 06333,"Illustrated ostracon showing animals performing the parody of a religious procession. Limestone. New Kingdom, 19th-20th Dynasty (1292-1076 BC). Deir el-Medina.. Schiaparelli excavations (1905). S. 6333"
S. 06994,"Jar. Baked clay. New Kingdom, 18th-20th Dynasty (1539-1076 BC). Deir el-Medina.. Schiaparelli excavations (1905). S. 6994"
S. 07013,"Decorated jar. Baked clay. New Kingdom, 18th-20th Dynasty (1539-1076 BC). Deir el-Medina.. Schiaparelli excavations (1905). S. 7013"
S. 07074,"Bowl. Baked clay. New Kingdom, 18th-20th Dynasty (1539-1076 BC). Deir el-Medina.. Schiaparelli excavations (1905). S. 7074"
S. 07660,"Brush. Vegetable fibers. New Kingdom, 18th-20th Dynasty (1539-1076 BC). Deir el-Medina.. Schiaparelli excavations (1905). S. 7660"
S. 07932.1,"Funerary basket. Wood, vegetable fibers. Old Kingdom, 5th-6th Dynasty (2435-2118 BC). Asyut, burial shaft in front of Djefahapi’s tomb.. Schiaparelli excavations (1906). S. 7932/1"
S. 08141,"Offering tray. Baked clay. First Intermediate Period, 8th-11th Dynasty (2118-1980 BC). Asyut.. Schiaparelli excavations (1906). S. 8141"
S. 08273,"Bread loaf. Vegetable organic remains. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8273"
S. 08321,"Bowl containing fishes dried in salt. Baked clay. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8321"
S. 08352,"Persea and papyrus twigs. Vegetable fibers. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8352"
S. 08364,"Pestle or papyrus smoother. Wood. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8364"
S. 08368,"Decorated ware. Baked clay. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8368"
S. 08410,"Salt loaf. Salt. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8410"
S. 08414,"Lidded basket with juniper berries. Vegetable fibers, organic remains. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8414"
S. 08424,"Basket. Wood, vegetable fibers. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8424"
S. 08429,"Inner coffin of Kha. Wood, stucco, gold, bronze, glass. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8429"
S. 08530,"Tunic with multicolored borders. Linen. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8530"
S. 08606,"Kohl tube with linen stopper. Vegetable fibers, linen. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8606"
S. 08613.10,"Loincloth. Linen. New Kingdom, 18th Dynasty, reigns of Amenhotep II, Tuthmosis IV and Amenhotep III (1425-1353 BC). Deir el-Medina, Tomb of Kha (TT 8).. Schiaparelli excavations (1906). S. 8613/10"
S. 08676,"Cup. Baked clay. Middle Kingdom, 12th Dynasty, reign of Sesostris I (1920-1875 BC). Asyut, Tomb of Shemes.. Schiaparelli excavations (1908). S. 8676"
S. 08812,"Jar. Baked clay. Middle Kingdom, early 12th Dynasty (1939-1875 BC). Asyut, Tomb of Minhotep.. Schiaparelli excavations (1908). S. 8812"
S. 08853,"Cup. Baked clay. Middle Kingdom, early 12th Dynasty (1939-1875 BC). Asyut, Tomb of Minhotep.. Schiaparelli excavations (1908). S. 8853"
S. 09611,"Hieratic ostracon with a testimony in court by the workman Menna. Limestone. New Kingdom, 20th Dynasty, reign of Ramesses III (1187-1157 BC). Deir el-Medina.. Schiaparelli excavations (1909-1912). S. 9611 = CGT 57381"
S. 09964 + S. 9965,"Two chisels. Wood, bronze. New Kingdom, 18th-20th Dynasty (1539-1076 BC). Deir el-Medina.. Schiaparelli excavations (1909-1912). S. 09964 e 09965"
S. 10437,"Shabti of Nespayherhat. Baked clay. Third Intermediate Period, 21st- 22nd Dynasty (1076-746 BC). Deir el-Medina.. Schiaparelli excavations (1909). S. 10437"
S. 11029,"Mummy of an ibis. Organic remains, linen. Ptolemaic Period - Roman Period (3rd century BC - 3rd century AD). Asyut.. Schiaparelli excavations (1910). S. 11029"
S. 11113.2,"Black-topped vase (B-ware). Baked clay. Predynastic Period, Naqada I-IIA (3900-3600 BC). Gebelein.. Schiaparelli excavations (1910). S. 11113/2"
S. 11170,"Wavy-handled jar (W-ware). Baked clay. Protodynastic Period, Naqada IIIA1 (3300-3200 BC). Gebelein.. Schiaparelli excavations (1910). S. 11170"
S. 12445,"Model brick stamp with the cartouche of Tuthmosis III “beloved of Hathor, mistress of Gebelein”. Wood. New Kingdom, reign of Tuthmosis III (1458-1425 BC). Gebelein, temple of Hathor, under the foundations.. Schiaparelli excavations (1910). S. 12445"
S. 13054,"Jar with lid. Baked clay. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13054"
S. 13066,"Miniature vase. Baked clay. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13066"
S. 13084,"Shell. Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13084"
S. 13108,"Model bag. Vegetable fibers. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13108"
S. 13111,"Flask. Glazed clay. New Kingdom (1539-1076 BC) (?). Gebelein, found inside the tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13111"
S. 13165,"Jar. Baked clay. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13165"
S. 13254,"Bowl. Baked clay. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13254"
S. 13255,"Miniature vase. Baked clay. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 13255"
S. 13268,"Mummy of Ini. Organic remains. Early First Intermediate Period (ca. 2090 BC). Gebelein, Northern Cemetery, Tomb of Ini.. Schiaparelli excavations (1911). S. 13268"
S. 13991,"Jug. Baked clay. Old Kingdom, 5th Dynasty (2435-2305 BC). Gebelein, “Tomba Grande”.. Schiaparelli excavations (1911). S. 13991"
S. 14354.1,"Wall painting: Iti with greyhound. Tempera painting on clay and straw. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 14354/01"
S. 14354.12,"Pittura parietale: offering bearers and a sacrifice scene. Tempera painting on clay and straw. First Intermediate Period (2118-1980 BC). Gebelein, tomb of Iti and Neferu.. Schiaparelli excavations (1911). S. 14354/12"
S. 15736,"Offering basin of Perim and Shepset. Limestone. Old Kingdom, 5th Dynasty (2435-2305 BC). Gebelein, mastaba of Perim.. Schiaparelli excavations (1914). S. 15736"
S. 17134,"Gilded covering for a female mummy. Gilt cartonnage. Roman Period, 2nd century AD. Fayum, Hawara (?).. Gift of Garré. S. 17134"
S. 17486,"Decoration for tunic cuffs with geometric design on purple background. Linen, wool. Byzantine Period, 5th – 6th century AD.. Purchased by Schiaparelli or gift by the Museum of Cairo (1900-1901). S. 17486"
S. 18143,"Talatat. Limestone. New Kingdom, 18th Dynasty, reign of Akhenaten (1353-1336 BC).. Purchased in Munich (1970), gift of the Turin Rotary Club. S. 18143"
S. 18556.3,Colored glass inlay. Glass. Ptolemaic Period (332-30 BC). Tebtynis.. Anti and Bagnani excavations (1930-1935). S. 18556/03
S. 19691,Anthropoid coffin with remains of a painted decoration. Wood. Ptolemaic Period - Roman Period (332 BC-AD 395). Tebtynis ?. Anti and Bagnani excavations (1930-1935). S. 19691
